mjdobs,racs,eracs,decs,edecs,mags,emags
56300.0,-7.60263142650525,1.0,-1.311579201187353,1.0,16.69778551030853,0.01
56300.010416666664,-9.415855949787419,1.0,-1.8285506790229586,1.0,16.703086928375352,0.01
56300.020833333336,-6.7266385586398485,1.0,-2.3368268672748536,1.0,16.71374124400468,0.01
56300.03125,-8.675856038544438,1.0,-2.6065177737016265,1.0,16.703143192389025,0.01
56300.041666666664,-8.2072324756978,1.0,-3.9215907209157512,1.0,16.698406634785705,0.01
56300.052083333336,-9.811655537855742,1.0,-1.1486703705316468,1.0,16.698305029013817,0.01
56300.0625,-9.911192157968147,1.0,-1.4741861889765424,1.0,16.715661609552992,0.01
56300.072916666664,-8.3808159203201,1.0,-0.652581607363516,1.0,16.712032000875976,0.01
56300.083333333336,-6.960297795406384,1.0,0.3480946030224463,1.0,16.697040944443966,0.01
56300.09375,-9.317140262191428,1.0,-2.4916684828345192,1.0,16.71288482063539,0.01
56300.104166666664,-8.957352978191434,1.0,-2.6772073179383478,1.0,16.6983210907633,0.01
56300.114583333336,-8.47870392626886,1.0,-2.3351652588651404,1.0,16.7082211529209,0.01
56300.125,-7.155207459013859,1.0,-1.6667626555538797,1.0,16.685107312816555,0.01
56300.135416666664,-7.318939691438951,1.0,-1.8305566368467086,1.0,16.708426419370777,0.01
56300.145833333336,-9.104780706125638,1.0,-2.4375432260833745,1.0,16.705229071882275,0.01
56300.15625,-7.518491206265952,1.0,-3.8191387053090446,1.0,16.705459911122535,0.01
56300.166666666664,-8.464285854793625,1.0,-2.014743528837103,1.0,16.710980830216286,0.01
56300.177083333336,-7.862677592505735,1.0,-1.2543494949697527,1.0,16.703637269998417,0.01
56300.1875,-7.256889454650958,1.0,-1.6127208661537145,1.0,16.70981962976276,0.01
56300.197916666664,-8.103347905990914,1.0,-2.0251519618022216,1.0,16.676714943245013,0.01
56300.208333333336,-7.475317949060998,1.0,-0.694975626941803,1.0,16.703569591751783,0.01
56300.21875,-8.605076891169922,1.0,-3.275923147746989,1.0,16.704801923173257,0.01
56300.229166666664,-8.2704203543679,1.0,-1.6460488388734633,1.0,16.708524681960956,0.01
56300.239583333336,-8.209752684071105,1.0,-2.637996200599096,1.0,16.703629636808895,0.01
56300.25,-7.249406959816766,1.0,-1.2049910584878907,1.0,16.703349905552987,0.01
56300.260416666664,-6.56936788051938,1.0,-2.1174049286456817,1.0,16.697455450074678,0.01
56300.270833333336,-8.551884010482675,1.0,-1.0697782340369941,1.0,16.70631162130353,0.01
56300.28125,-7.236011446353822,1.0,-1.8205365528949842,1.0,16.684366094163217,0.01
56300.291666666664,-7.285072851936047,1.0,-2.4445848957868703,1.0,16.699516180217074,0.01
56300.302083333336,-10.063294350784338,1.0,-2.3771621102521063,1.0,16.708580670239268,0.01
56300.3125,-8.251959703743468,1.0,-1.008185138527244,1.0,16.71437651788947,0.01
56300.322916666664,-6.808753292040086,1.0,-0.6162413998931313,1.0,16.68893761772735,0.01
56300.333333333336,-7.412244390236347,1.0,-2.8685311221088927,1.0,16.696979237412908,0.01
56300.34375,-7.838305947240916,1.0,-2.873257966662961,1.0,16.68734863343285,0.01
56300.354166666664,-9.565037688388667,1.0,0.7590321978194368,1.0,16.703487568944364,0.01
56300.364583333336,-7.241087627332595,1.0,-1.6488730492698989,1.0,16.693722089520275,0.01
56300.375,-8.909470594057582,1.0,-1.0981514603536398,1.0,16.701763636511203,0.01
56300.385416666664,-8.731504839156237,1.0,-1.1685297709591813,1.0,16.69319510971184,0.01
56300.395833333336,-7.7610517280714495,1.0,-3.7714775162729737,1.0,16.71470700692241,0.01
56300.40625,-7.776033142937993,1.0,-3.3647030087457486,1.0,16.70286664094667,0.01
56300.416666666664,-8.65055138306917,1.0,0.02912442803036175,1.0,16.67689902414637,0.01
